"event","experiment time","system time","system time text"
"START",0.000000000E0,1757472557.480,"2025-09-10 11:49:17.480 UTC+09:00"
"PAUSE",3.309764021E1,1757472590.578,"2025-09-10 11:49:50.578 UTC+09:00"
