"event","experiment time","system time","system time text"
"START",0.000000000E0,1748226288.647,"2025-05-26 11:24:48.647 UTC+09:00"
"PAUSE",2.591116740E1,1748226314.558,"2025-05-26 11:25:14.558 UTC+09:00"
