time,speed,low_speed
0.555,0.6800000000000067,
0.805,0.3199999999999932,
1.054,0.0,
1.304,0.3200000000000074,
1.554,1.0,0.46400000000000147
1.805,0.47974480393594804,0.4239489607871897
2.055,0.3599999999999991,0.4319489607871909
2.304,0.3212851405622497,0.4962059888996408
2.554,0.6800000000000033,0.56820598889964
2.804,0.3200000000000003,0.43220598889964
3.054,0.4525483399593858,0.4267666961043276
3.305,1.3528228562828457,0.625331267360897
3.554,0.36144578313253,0.633363395874953
3.804,1.3682105101189588,0.7710054978987441
4.054,0.32000000000000683,0.7710054978987454
4.304,2.6799999999999926,1.2164958299068669
4.554,2.3200000000000074,1.4099312586502992
4.804,2.0,1.737642102023793
5.054,0.9599999999999937,1.6560000000000001
5.304,0.7515317691222309,1.742306353824445
5.554,1.0,1.4063063538244465
5.803,1.0541690560969244,1.1531401650438298
6.053,1.679047348945229,1.0889496348328755
6.304,1.9920318725099575,1.2953560093348684
6.554,2.0,1.545049655510422
6.804,3.3353860346292823,2.0121268624362783
7.054,2.319999999999993,2.2652930512168923
7.304,1.0,2.1294835814278463
7.554,0.0,1.7310772069258547
7.804,0.3200000000000003,1.3950772069258552
8.054,2.1124393482417454,1.1504878696483476
8.305,1.9920318725099646,1.0848942441503422
8.554,1.004016064257026,1.0856974570017472
8.804,1.3200000000000003,1.3496974570017473
9.054,1.0,1.4856974570017472
9.304,2.0,1.4632095873533981
9.554,1.679047348945222,1.4006126826404497
9.805,1.1825356238769613,1.4363165945644367
10.054,1.6867469879518102,1.5096659921547988
10.304,1.0,1.5096659921547988
10.553,1.646586345381516,1.4389832612311018
10.804,2.0173687491907883,1.5066475412802152
11.054,0.6799999999999997,1.4061404165048228
11.304,1.3582341477079736,1.3404378484560555
11.554,1.1872657663724666,1.3778910017305488
11.805,0.0,1.0485737326542455
12.053,1.7897049210622622,1.0030409670285405
12.304,0.0,0.8670409670285405
12.554,0.6799999999999926,0.7313941374869444
12.805,0.31872509960160167,0.5576860041327713
13.054,0.6827309236947702,0.6942321888717253
13.304,1.0,0.5362912046592729
13.553,1.3253012048192816,0.8013514456231292
13.804,0.9960159362549823,0.8645546328741271
14.054,1.0,1.0008096129538069
14.305,0.6374501992031892,0.9917534680554907
14.554,1.004016064257026,0.9925566809068957
14.805,0.0,0.7274964399430395
15.055,1.0,0.7282932526920429
15.303,0.7575925091957938,0.6798117545312017
15.554,0.9300890462094645,0.7383395239324568
15.804,0.6799999999999997,0.6735363110810516
16.054,0.32000000000000256,0.7375363110810521
16.305,0.31872509960159234,0.6012813310013706
16.553,0.6854838709677386,0.5868596033557596
16.804,1.0585920522379715,0.612560204561461
17.055,0.9960159362549752,0.675763391812456
17.304,1.9678714859437856,1.0053376890012127
17.554,1.6799999999999997,1.277592669080894
17.804,0.6800000000000068,1.2764958948873477
18.054,2.9599999999999937,1.6567774844397523
18.304,2.0,1.8575742971887572
18.554,2.704071004984898,2.0048142009969796
18.804,1.6400000000000006,1.99681420099698
19.054,3.319999999999993,2.5248142009969774
19.305,1.947306678860544,2.3222755367690873
19.555,1.0499523798725372,2.1322660127435946
19.803,1.0080645161290278,1.7930647149724206
20.053,1.6400000000000006,1.7930647149724206
20.304,1.3147410358565792,1.3920129221437376
20.554,3.0,1.602551586371629
20.804,0.6800000000000068,1.5285611103971228
21.054,2.0,1.7269482071713171
21.304,1.6709278859364358,1.733133784358604
21.555,1.2044793990303464,1.7110814569933577
21.804,2.2092004079478196,1.5529215385829218
22.054,1.7102046661145476,1.7589624718058299
22.304,1.0,1.55896247180583
22.554,0.6400000000000006,1.3527768946185428
22.803,1.3654618473895448,1.3849733842903826
23.054,0.9960159362549893,1.1423364899518167
23.303,1.8742589380848078,1.1751473443458686
23.554,0.45074535852528885,1.0652964160509264
23.804,1.3200000000000003,1.2012964160509263
24.053,1.054169056096915,1.1390378577924003
24.305,0.35714285714285815,1.0112632419699739
