time,x,y
0.331,6.23,28.5
0.576,6.4,28.5
0.828,6.81,28.5
1.076,7.39,28.42
1.328,7.64,28.25
1.576,7.81,28.17
1.827,8.06,27.92
2.077,8.31,27.59
2.326,8.47,27.25
2.576,8.64,26.76
2.827,8.72,26.42
3.076,8.72,26.26
3.327,8.72,26.09
3.576,8.72,25.76
3.827,8.72,25.51
4.077,8.72,25.01
4.326,8.72,24.76
4.577,8.72,24.51
4.827,8.81,24.26
5.076,8.81,23.85
5.327,8.89,23.27
5.577,8.89,22.85
5.826,9.05,22.35
6.076,9.14,21.77
6.331,9.3,21.36
6.577,9.47,21.11
6.826,9.64,20.86
7.077,9.8,20.69
7.326,10.05,20.61
7.577,10.13,20.61
7.826,10.22,20.61
8.076,10.22,20.61
8.328,10.22,20.61
8.576,10.22,20.61
8.828,10.22,20.61
9.076,10.22,20.61
9.331,10.22,20.61
9.577,10.22,20.61
9.828,10.22,20.61
10.077,10.22,20.61
10.329,10.22,20.61
10.576,10.22,20.61
10.831,10.22,20.61
11.076,10.22,20.61
11.329,10.22,20.61
11.577,10.22,20.61
11.831,10.22,20.61
12.076,10.22,20.61
12.328,10.22,20.61
12.575,10.13,20.61
12.829,10.13,20.53
13.076,10.13,20.53
13.326,10.13,20.53
13.576,10.05,20.36
13.825,9.97,20.36
14.077,9.97,20.36
14.326,9.97,20.28
14.576,9.8,20.03
14.827,9.55,19.78
15.077,9.3,19.69
15.325,9.14,19.45
15.576,8.72,19.2
15.826,8.47,19.03
16.076,8.22,19.03
16.331,7.89,18.86
16.576,7.89,18.86
16.828,7.89,18.86
17.076,7.89,18.86
