"event","experiment time","system time","system time text"
"START",0.000000000E0,1750041621.239,"2025-06-16 11:40:21.239 UTC+09:00"
"PAUSE",2.067367995E1,1750041641.913,"2025-06-16 11:40:41.913 UTC+09:00"
