time,speed
11.5,0.6157988680200464
11.75,0.6157988680200469
12.0,0.6789288819014938
12.25,0.7173872741129059
12.5,0.697150448604539
12.75,0.6743065372569026
13.0,0.6748612577546728
13.25,0.7102474376003673
13.5,0.7102474376003676
13.75,0.3214361840703895
14.0,0.26885904368290003
14.25,0.2688590436829002
14.5,0.2688590436829002
14.75,0.2688590436829002
15.0,0.2688590436828993
15.25,0.4982914011807886
15.5,0.5260732074269182
15.75,0.5260732074269181
16.0,0.46528615986189437
16.25,0.46431933971189715
16.5,0.4643193397118963
16.75,0.3279466755537034
17.0,0.1524513924742487
17.25,0.15245139247425116
17.5,0.1524513924742482
17.75,0.1524513924742487
18.0,0.15245139247424994
18.25,0.15245139247424894
18.5,0.1524513924742492
18.75,0.15245139247424894
19.0,0.1524513924742492
19.25,0.15245139247424944
19.5,0.6552271561194994
19.75,0.7066441527484095
20.0,0.3556365030069806
20.25,0.17123061611635096
20.5,0.17123061611635337
20.75,0.17123061611635215
21.0,0.17123061611635257
21.25,0.17123061611635176
21.5,0.171230616116353
21.75,0.17123061611635257
22.0,0.17123061611635176
22.25,0.14678085983525938
22.5,0.11679978357467316
22.75,0.11679978357467302
23.0,0.11679978357467316
23.25,0.11679978357467316
23.5,0.11679978357467302
23.75,0.11679978357467302
24.0,0.11679978357467316
24.25,0.11679978357467316
24.5,0.11679978357467302
24.75,0.11679978357467131
25.0,0.11679978357467316
25.25,0.11679978357467485
25.5,0.11679978357467302
25.75,0.279077673414788
26.0,0.38774598981222685
26.25,0.38774598981222663
26.5,0.38774598981222685
26.75,0.2285095467956541
27.0,0.27754397781468887
27.25,0.2775439778146884
27.5,0.2775439778146884
27.75,0.27754397781468887
28.0,0.2775439778146873
28.25,0.48831581373184973
28.5,0.578809760208522
28.75,0.5788097602085216
29.0,0.628916189244453
29.25,0.6317209582398339
29.5,0.631802313510691
29.75,0.6373723026583434
30.0,0.637372302658343
30.25,0.5750662484805242
30.5,0.568470930869442
30.75,0.6400766175116485
31.0,1.3743544700002959
31.25,1.3743544700002954
