"event","experiment time","system time","system time text"
"START",0.000000000E0,1753434435.933,"2025-07-25 18:07:15.933 UTC+09:00"
"PAUSE",2.783372256E1,1753434463.767,"2025-07-25 18:07:43.767 UTC+09:00"
