"event","experiment time","system time","system time text"
"START",0.000000000E0,1757472700.313,"2025-09-10 11:51:40.313 UTC+09:00"
"PAUSE",3.804124570E1,1757472738.354,"2025-09-10 11:52:18.354 UTC+09:00"
