time,x,y
0.284,6.48,28.75
0.536,6.48,28.75
0.782,6.65,28.67
1.032,6.81,28.67
1.283,6.98,28.58
1.532,7.23,28.58
1.784,7.39,28.58
2.033,7.64,28.58
2.282,7.89,28.58
2.533,8.14,28.58
2.782,8.56,28.58
3.032,9.05,28.58
3.283,9.22,28.58
3.532,9.55,28.58
3.783,9.88,28.58
4.032,10.05,28.58
4.283,10.38,28.58
4.533,10.63,28.58
4.783,10.88,28.5
5.033,11.13,28.5
5.283,11.55,28.5
5.533,11.96,28.5
5.782,12.29,28.5
6.031,12.71,28.5
6.283,13.21,28.5
6.533,13.62,28.5
6.782,14.12,28.5
7.033,14.87,28.5
7.282,15.78,28.42
7.534,16.03,28.42
7.782,16.28,28.42
8.034,16.61,28.42
8.283,16.86,28.42
8.533,17.36,28.42
8.782,17.78,28.42
9.032,18.19,28.42
9.282,18.77,28.42
9.533,19.11,28.42
9.782,19.35,28.33
10.033,19.69,28.08
10.283,19.85,28
10.532,20.02,27.67
10.781,20.1,27.34
11.032,20.27,26.84
11.281,20.35,26.34
11.533,20.35,26.09
11.782,20.43,25.68
12.031,20.52,25.26
12.281,20.6,24.6
12.534,20.68,24.26
12.783,20.68,23.68
13.032,20.68,23.27
13.282,20.68,22.93
13.532,20.68,22.69
13.781,20.68,22.52
14.033,20.68,22.27
14.282,20.68,22.02
14.533,20.68,21.77
14.783,20.6,21.52
15.036,20.6,21.36
15.282,20.6,21.19
15.536,20.6,21.02
15.783,20.6,20.86
16.033,20.52,20.69
16.282,20.52,20.61
16.536,20.52,20.36
16.781,20.52,20.19
17.032,20.52,19.94
17.282,20.52,19.78
17.533,20.43,19.61
17.783,20.43,19.36
18.034,20.35,19.2
18.281,20.35,18.86
18.532,20.35,18.12
18.782,20.35,17.78
19.032,20.35,17.62
19.284,20.35,17.45
19.533,20.35,17.04
19.782,20.35,16.46
20.032,20.27,16.21
20.284,20.27,16.04
20.532,20.19,15.87
20.782,20.19,15.71
21.032,20.1,15.62
21.283,20.02,15.46
21.533,19.85,15.29
21.783,19.69,15.29
22.032,18.77,15.04
22.283,18.52,14.96
22.534,18.19,15.13
22.783,17.94,15.38
23.036,17.86,15.54
23.282,17.69,15.71
