time,x,y
0.277,6.53,28.79
0.528,6.53,28.79
0.778,6.53,28.79
1.027,6.53,28.79
1.277,6.62,28.79
1.527,6.8,28.61
1.778,6.98,28.52
2.027,7.25,28.43
2.278,7.88,28.34
2.528,8.32,28.34
2.778,8.68,28.34
3.028,9.04,28.25
3.277,9.49,28.25
3.527,10.02,28.25
3.778,10.29,28.16
4.028,10.29,28.16
4.277,10.29,28.16
4.528,10.29,28.16
4.778,10.29,28.16
5.028,10.29,28.16
5.278,10.29,28.16
5.528,10.29,28.16
5.777,10.29,28.16
6.027,10.29,28.16
6.277,10.29,28.16
6.528,10.83,28.16
6.778,10.83,28.16
7.028,10.83,28.16
7.278,10.83,28.16
7.527,10.83,28.16
7.777,10.83,28.16
8.028,10.83,28.16
8.277,15.39,28.88
8.527,15.04,28.79
8.777,15.04,28.61
9.027,15.22,28.52
9.278,15.84,28.25
9.527,16.38,28.07
9.777,16.92,27.98
10.027,17.81,27.89
10.277,18.53,27.89
10.528,18.62,27.89
10.777,19.06,27.89
11.028,19.6,27.89
11.277,19.69,27.89
11.527,19.96,27.89
11.778,20.32,27.71
12.026,20.32,27.53
12.277,20.32,26.91
12.527,20.32,26.01
12.777,20.41,25.39
13.027,20.5,24.94
13.278,20.59,24.58
13.527,20.59,24.58
13.777,20.59,23.95
14.028,20.59,23.6
14.278,20.59,23.6
14.527,20.59,23.51
14.777,20.59,22.88
15.028,20.59,22.52
15.278,20.59,21.99
15.527,20.59,21.27
15.777,20.59,21.09
16.027,20.59,21.09
16.278,20.59,21.09
16.527,20.59,21.09
16.777,20.41,20.2
17.028,20.32,19.93
17.277,20.32,19.75
17.527,20.32,19.48
17.778,20.32,19.39
18.028,20.23,19.48
18.277,19.87,19.57
18.527,19.78,19.57
18.777,19.78,19.57
19.028,19.78,19.57
19.278,19.78,19.57
