time,x,y
0.253,6.29,28.53
0.503,6.29,28.53
0.752,6.48,28.59
1.002,6.48,28.59
1.252,6.6,28.59
1.502,7.29,28.59
1.752,7.8,28.59
2.002,7.99,28.59
2.253,7.99,28.59
2.502,8.3,28.15
2.752,8.49,27.46
3.003,8.55,26.96
3.253,8.55,26.89
3.502,8.68,26.14
3.752,8.87,24.94
4.002,8.87,24.38
4.252,8.87,24.13
4.502,8.87,23.43
4.753,8.87,22.68
5.002,8.87,21.55
5.252,8.87,20.6
5.502,8.93,20.54
5.753,8.93,20.54
6.003,8.93,20.1
6.252,9.18,20.16
6.502,9.56,20.23
6.752,10.06,20.29
7.002,10.63,20.35
7.252,10.75,20.35
7.503,10.75,20.35
7.752,10.88,20.35
8.003,11.01,20.42
8.252,11.01,20.42
8.503,11.07,20.42
8.753,11.07,20.42
9.002,11.32,20.48
9.252,11.32,20.48
9.502,11.26,20.48
9.753,11.26,20.48
10.003,11.19,20.48
10.253,11.13,20.48
10.503,11.01,20.48
10.753,10.88,20.48
11.003,10.88,20.67
11.253,11.07,20.67
11.503,11.07,20.67
11.752,11.07,20.67
12.002,11.01,20.6
12.253,10.94,20.54
12.502,10.94,20.35
12.752,10.88,19.98
13.003,10.88,19.47
13.251,10.88,18.91
13.503,10.94,18.84
13.752,11.19,18.65
14.002,11.63,18.09
14.252,11.82,17.65
14.502,11.82,17.27
14.753,11.82,17.02
15.002,11.7,16.77
15.253,11.57,16.64
15.502,11.51,16.52
15.753,11.45,16.52
16.003,11.45,16.52
16.253,11.45,16.52
16.503,11.32,16.45
16.752,11.07,16.39
17.003,11.07,16.39
17.253,11.07,16.39
17.503,11.07,16.39
17.753,11.07,16.39
18.003,11.07,16.39
18.253,11.07,16.39
18.503,11.07,16.39
18.753,11.07,16.39
19.003,11.07,16.39
19.253,11.07,16.39
19.502,11.07,16.39
19.753,11.07,16.39
20.002,11.07,16.39
20.253,11.07,16.39
20.502,11.07,16.39
20.753,11.07,16.39
21.003,11.07,16.39
21.253,11.07,16.39
21.502,11.07,16.39
21.753,11.07,16.39
22.003,11.07,16.39
22.253,11.07,16.39
22.502,11.07,16.39
22.753,11.07,16.39
23.003,11.07,16.39
23.253,11.13,16.08
23.501,11.19,15.89
23.753,11.63,15.45
24.002,12.33,15.32
24.253,12.95,15.32
24.502,13.58,15.32
24.752,14.4,15.32
25.002,15.09,15.32
25.253,15.6,15.32
25.502,16.22,15.32
25.753,16.73,15.32
26.003,16.92,15.38
26.253,16.92,15.38
26.502,16.92,15.38
26.752,16.92,15.38
27.003,16.92,15.38
27.252,16.92,15.38
27.503,16.92,15.38
27.753,16.92,15.38
28.002,17.61,15.13
28.253,17.67,15.13
28.502,17.73,15.07
28.753,17.86,14.94
29.003,17.86,14.94
29.252,18.05,15.01
29.503,18.3,15.07
29.752,18.36,15.38
30.003,18.43,15.51
30.252,18.43,15.51
30.502,18.43,15.51
30.753,18.43,15.51
31.002,18.43,15.51
31.253,18.43,15.51
31.502,18.43,15.57
31.753,18.43,15.57
32.003,18.43,15.57
