time,x,y
0.253,6.98,28.61
0.502,7.34,28.52
0.752,7.61,28.52
1.002,7.61,28.43
1.252,7.7,28.43
1.503,7.97,28.43
1.751,8.32,28.43
2.003,8.59,28.34
2.252,8.77,28.07
2.502,8.86,27.71
2.752,8.86,27.36
3.003,8.86,27
3.252,8.86,26.82
3.501,8.86,26.82
3.752,8.86,26.01
4.002,8.86,25.12
4.251,8.86,24.58
4.502,8.86,24.31
4.752,8.86,23.87
5.002,8.86,23.51
5.252,8.77,23.24
5.502,8.77,23.24
5.752,8.77,21.54
6.001,8.77,21.27
6.253,8.77,21.27
6.503,9.04,21.36
6.752,9.22,21.45
7.002,9.76,21.45
7.252,10.11,21.54
7.503,10.29,21.54
7.752,10.74,21.54
8.002,11.1,21.54
8.252,11.28,21.54
8.502,11.72,21.54
8.752,12.26,21.63
9.003,12.53,21.63
9.252,12.53,21.54
9.503,12.53,21.54
9.753,12.53,21.54
10.002,12.53,21.54
10.252,12.53,21.54
10.502,12.53,21.54
10.752,12.53,21.54
11.003,12.53,21.54
11.253,12.53,21.54
11.503,12.53,21.54
11.751,12.53,21.18
12.003,12.53,21.18
12.253,12.53,21.18
12.502,12.62,21.18
12.753,13.07,21.36
13.002,13.16,21.36
13.252,13.6,21.27
13.502,13.87,20.82
13.753,13.96,20.46
14.002,13.96,20.2
14.252,13.96,19.84
14.502,13.96,19.75
14.753,13.96,19.75
15.003,13.96,19.75
15.252,13.96,19.39
15.501,13.96,18.49
15.753,13.96,17.69
16.002,13.96,17.42
16.252,13.96,17.15
16.502,13.96,17.06
16.753,13.96,17.06
17.002,13.96,17.06
17.252,13.96,17.06
17.502,13.87,17.06
17.752,13.78,17.06
18.002,13.34,17.06
18.251,13.07,17.06
18.503,12.8,17.06
18.752,12.44,17.06
19.001,11.46,17.06
19.252,10.83,17.06
19.502,10.2,17.15
19.752,9.67,17.24
20.001,9.22,17.42
20.252,8.86,17.78
20.503,8.86,17.96
20.752,8.77,18.32
21.001,8.77,18.58
21.251,8.77,18.94
21.502,8.77,19.3
21.752,8.77,19.75
22.002,8.77,20.55
22.253,8.77,20.64
22.502,8.77,20.64
22.752,8.77,21.27
23.002,8.68,21.9
23.251,8.68,22.25
23.501,8.68,22.7
23.752,8.68,22.97
24.002,8.68,23.42
24.251,8.86,24.13
24.502,8.95,25.03
24.752,8.95,26.46
25.001,8.95,27.53
25.252,8.95,27.98
25.502,8.5,28.34
25.752,7.88,28.52
26.002,7.34,28.61
26.252,7.16,28.61
26.502,7.07,28.61
26.752,6.89,28.61
27.003,6.8,28.61
27.252,6.71,28.61
27.502,6.53,28.7
27.752,6.53,28.7
28.003,6.53,28.7
