time,x,y
0.278,6.65,28.58
0.528,6.73,28.58
0.778,6.89,28.58
1.027,7.06,28.58
1.278,7.31,28.5
1.527,7.56,28.42
1.777,7.89,28.08
2.027,8.06,28
2.277,8.14,27.84
2.529,8.22,27.75
2.777,8.31,27.59
3.028,8.47,27.42
3.278,8.56,27.25
3.529,8.64,27.17
3.777,8.72,26.92
4.028,8.72,26.67
4.277,8.72,26.34
4.529,8.72,26.17
4.778,8.72,25.59
5.026,8.72,25.43
5.277,8.72,25.26
5.529,8.72,25.01
5.779,8.72,24.84
6.027,8.72,24.68
6.278,8.72,24.51
6.528,8.72,24.26
6.777,8.81,24.01
7.031,8.81,23.85
7.277,8.89,23.6
7.528,8.89,23.27
7.776,8.97,22.85
8.029,9.05,22.6
8.278,9.14,22.52
8.526,9.14,22.44
8.779,9.3,22.35
9.026,9.3,22.27
9.277,9.47,22.27
9.531,9.47,22.27
9.777,9.55,22.27
10.031,9.72,22.27
10.278,9.8,22.27
10.529,10.05,22.19
10.778,10.3,22.1
11.027,10.63,22.02
11.277,10.88,22.02
11.527,11.13,21.94
11.777,11.46,21.85
12.026,11.71,21.85
12.277,11.96,21.77
12.531,12.04,21.69
12.777,12.04,21.69
13.027,12.04,21.69
13.278,12.04,21.69
13.531,12.04,21.69
13.778,12.04,21.69
14.031,12.04,21.69
14.277,12.04,21.69
14.529,12.04,21.69
14.778,12.04,21.69
15.027,12.04,21.69
15.277,12.04,21.69
15.531,12.04,21.69
15.778,12.04,21.69
16.029,12.04,21.69
16.277,12.04,21.69
16.531,12.21,21.69
16.779,12.21,21.69
17.027,12.29,21.69
17.276,12.54,21.69
17.528,12.71,21.77
17.776,12.96,21.77
18.028,13.04,21.85
18.278,13.29,21.85
18.528,13.46,21.85
18.777,13.71,21.85
19.029,13.87,21.85
19.279,13.96,21.77
19.529,14.12,21.36
19.778,14.12,21.27
20.028,14.2,20.94
20.277,14.2,20.28
20.527,14.2,20.11
20.778,14.2,19.94
21.028,14.2,19.86
21.276,14.12,19.53
21.527,14.12,19.28
21.778,14.04,18.86
22.028,14.04,18.7
22.279,14.04,18.61
22.529,14.29,18.61
22.777,14.62,18.61
23.027,14.87,18.61
23.277,15.2,18.61
23.529,15.45,18.61
23.778,15.53,18.7
24.031,15.7,18.7
24.278,15.87,18.7
24.531,16.03,18.7
24.778,16.2,18.7
25.028,16.78,18.7
25.279,17.19,18.7
25.531,17.44,18.7
25.778,17.61,18.7
26.027,18.11,18.7
26.276,18.52,18.7
26.527,18.77,18.7
26.776,19.11,18.7
27.027,19.27,18.7
27.279,19.52,18.7
27.527,19.85,18.61
27.777,20.1,18.53
28.027,20.35,18.45
28.277,20.35,18.28
28.527,20.35,18.2
28.776,20.35,18.03
29.029,20.35,17.78
29.278,20.35,17.45
29.528,20.35,17.12
29.777,20.35,16.87
30.029,20.35,16.62
30.276,20.35,16.37
30.527,20.43,16.12
30.777,20.43,15.87
31.028,20.43,15.62
31.278,20.43,15.46
31.532,20.35,15.38
31.776,20.19,15.29
32.026,19.94,15.21
32.278,19.77,15.13
32.527,19.6,15.13
32.778,19.44,15.13
33.027,19.27,15.13
33.277,18.61,14.96
33.529,18.44,14.96
33.778,18.11,14.88
34.028,17.78,14.79
34.278,17.36,14.71
34.528,17.03,14.71
34.776,16.78,14.63
35.031,16.45,14.63
35.276,16.36,14.63
35.529,15.95,14.63
35.777,15.7,14.63
36.027,15.53,14.63
36.279,15.28,14.63
36.529,14.45,14.63
36.777,14.2,14.63
37.027,13.87,14.63
37.277,13.37,14.63
37.528,12.88,14.71
37.778,12.79,14.71
38.029,12.54,14.71
38.277,12.38,14.71
38.528,12.13,14.71
38.779,12.04,14.71
39.026,11.8,14.79
39.279,11.55,14.88
39.528,10.88,14.88
39.777,10.72,14.96
40.027,10.55,14.96
40.276,10.3,14.96
40.528,9.88,14.96
40.778,9.72,14.96
41.029,9.39,15.04
41.278,9.14,15.21
41.527,8.89,15.46
41.778,8.64,15.71
42.027,8.56,15.96
42.277,8.47,16.21
42.528,8.39,16.46
42.777,8.31,16.7
43.027,8.22,17.2
43.277,8.14,17.78
43.528,8.14,18.03
43.776,8.14,18.37
44.026,8.14,18.7
44.277,8.14,19.2
44.526,8.14,19.78
44.778,8.22,20.03
45.026,8.31,20.28
45.278,8.31,20.36
45.528,8.39,20.61
45.776,8.39,20.69
46.031,8.56,20.77
46.278,8.72,20.77
46.527,8.81,20.77
46.776,8.89,20.53
47.029,8.89,20.11
47.276,8.89,19.94
47.528,8.89,19.94
47.778,8.89,19.69
48.026,8.89,19.53
48.278,8.89,19.36
48.526,8.89,19.28
48.777,8.89,19.03
49.026,8.81,18.86
49.276,8.81,18.7
49.527,8.81,18.37
49.778,8.81,17.87
50.028,8.81,17.53
50.278,8.72,17.29
50.527,8.72,17.04
50.777,8.72,16.79
51.028,8.72,16.46
51.277,8.72,16.12
51.529,8.72,15.71
51.777,8.81,15.46
52.029,8.81,15.29
52.277,8.97,15.13
52.528,9.22,15.04
52.777,9.8,15.04
53.026,10.22,15.04
53.278,10.63,14.96
53.527,11.13,14.96
53.778,11.8,14.88
54.026,12.04,14.88
54.278,12.54,14.88
54.527,12.96,14.88
54.776,14.29,14.79
55.026,14.62,14.71
55.277,14.87,14.71
55.527,15.2,14.71
55.777,15.62,14.79
56.028,16.03,14.96
56.276,16.36,15.13
56.526,16.53,15.29
56.778,16.7,15.38
57.031,16.86,15.54
57.279,16.86,15.54
