"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.630486510E-1,9.911994934E0,-7.565677166E-1,3.088520169E-1
1.651187280E-1,9.916783333E0,-7.661445141E-1,3.016694188E-1
1.671549580E-1,9.914389610E0,-7.900865674E-1,2.825157940E-1
1.692252660E-1,9.902418137E0,-7.972691655E-1,2.657563984E-1
1.712608430E-1,9.904812813E0,-7.972691655E-1,2.394201756E-1
1.732622280E-1,9.916783333E0,-8.116343617E-1,1.963245422E-1
1.752629970E-1,9.904812813E0,-8.499416113E-1,1.604115069E-1
1.773328820E-1,9.902418137E0,-8.667010069E-1,1.316810995E-1
1.793686120E-1,9.892841339E0,-8.643068075E-1,8.619125932E-2
1.813720350E-1,9.902418137E0,-8.930372596E-1,4.309562966E-2
1.833727280E-1,9.892841339E0,-8.834604025E-1,1.915361360E-2
1.854423050E-1,9.907206535E0,-9.002198577E-1,-2.154781483E-2
1.874777660E-1,9.914389610E0,-9.289502501E-1,-6.464344263E-2
1.895477280E-1,9.911994934E0,-9.457096457E-1,-9.337386489E-2
1.915835350E-1,9.911994934E0,-9.600749016E-1,-1.412578970E-1
1.935887660E-1,9.907206535E0,-9.696516991E-1,-1.651999205E-1
1.955892660E-1,9.914389610E0,-9.864110947E-1,-1.771709323E-1
1.976589580E-1,9.919178009E0,-1.003170490E0,-1.963245422E-1
1.996946510E-1,9.947908401E0,-1.034295082E0,-2.178723514E-1
2.016943810E-1,9.952696800E0,-1.051054597E0,-2.226607651E-1
2.036945350E-1,9.952696800E0,-1.055842996E0,-2.178723514E-1
2.057636120E-1,9.974244118E0,-1.058237195E0,-2.178723514E-1
2.077982660E-1,9.976638794E0,-1.065419793E0,-2.082955539E-1
2.098673040E-1,9.971850395E0,-1.074996591E0,-1.867477298E-1
2.119026890E-1,9.959878922E0,-1.079784989E0,-1.723825186E-1
2.139023430E-1,9.947908401E0,-1.086967587E0,-1.508347094E-1
2.159027280E-1,9.940725327E0,-1.086967587E0,-1.364694983E-1
2.179723430E-1,9.938331604E0,-1.079784989E0,-1.221042871E-1
2.200079970E-1,9.950302124E0,-1.084573388E0,-9.337386489E-2
2.220106510E-1,9.955090523E0,-1.091755986E0,-7.661445439E-2
2.240122660E-1,9.935936928E0,-1.094150186E0,-5.027823523E-2
2.260809200E-1,9.921571732E0,-1.082179189E0,-9.576806799E-3
2.281167660E-1,9.919178009E0,-1.082179189E0,7.182605099E-3
2.301859970E-1,9.907206535E0,-1.082179189E0,2.633621916E-2
2.322214200E-1,9.876082420E0,-1.067813993E0,5.985504389E-2
2.342258810E-1,9.859322548E0,-1.072602391E0,8.379705995E-2
