"event","experiment time","system time","system time text"
"START",0.000000000E0,1757473085.427,"2025-09-10 11:58:05.427 UTC+09:00"
"PAUSE",3.201473044E1,1757473117.442,"2025-09-10 11:58:37.442 UTC+09:00"
