"event","experiment time","system time","system time text"
"START",0.000000000E0,1750041525.299,"2025-06-16 11:38:45.299 UTC+09:00"
"PAUSE",2.170975475E1,1750041547.008,"2025-06-16 11:39:07.008 UTC+09:00"
