time,x,y,speed,stay
0.253,6.98,28.61,,False
0.502,7.34,28.52,1.4902791417895136,False
0.752,7.61,28.52,1.0800000000000018,False
1.002,7.61,28.43,0.3599999999999994,True
1.252,7.7,28.43,0.3599999999999994,True
1.503,7.97,28.43,1.0756972111553773,False
1.751,8.32,28.43,1.4112903225806472,False
2.003,8.59,28.34,1.1293848786315612,False
2.252,8.77,28.07,1.303211304384574,False
2.502,8.86,27.71,1.4843180252223556,False
2.752,8.86,27.36,1.4000000000000057,False
3.003,8.86,27.0,1.4342629482071672,False
3.252,8.86,26.82,0.72289156626506,False
3.501,8.86,26.82,0.0,True
3.752,8.86,26.01,3.2270916334661317,False
4.002,8.86,25.12,3.5600000000000023,False
4.251,8.86,24.58,2.168674698795187,False
4.502,8.86,24.31,1.075697211155379,False
4.752,8.86,23.87,1.759999999999991,False
5.002,8.86,23.51,1.4399999999999975,False
5.252,8.77,23.24,1.1384199576606282,False
5.502,8.77,23.24,0.0,True
5.752,8.77,21.54,6.799999999999997,False
6.001,8.77,21.27,1.0843373493975863,False
6.253,8.77,21.27,0.0,True
6.503,9.04,21.36,1.1384199576606149,False
6.752,9.22,21.45,0.8082173412649905,False
7.002,9.76,21.45,2.1599999999999966,False
7.252,10.11,21.54,1.4455448799674109,False
7.503,10.29,21.54,0.7171314741035836,False
7.752,10.74,21.54,1.8072289156626573,False
8.002,11.1,21.54,1.4399999999999926,False
8.252,11.28,21.54,0.7199999999999989,False
8.502,11.72,21.54,1.7600000000000051,False
8.752,12.26,21.63,2.1897945109073556,False
9.003,12.53,21.63,1.075697211155379,False
9.252,12.53,21.54,0.3614457831325287,True
9.503,12.53,21.54,0.0,True
9.753,12.53,21.54,0.0,True
10.002,12.53,21.54,0.0,True
10.252,12.53,21.54,0.0,True
10.502,12.53,21.54,0.0,True
10.752,12.53,21.54,0.0,True
11.003,12.53,21.54,0.0,True
11.253,12.53,21.54,0.0,True
11.503,12.53,21.54,0.0,True
11.751,12.53,21.18,1.451612903225808,False
12.003,12.53,21.18,0.0,True
12.253,12.53,21.18,0.0,True
12.502,12.62,21.18,0.3614457831325287,True
12.753,13.07,21.36,1.930935588215567,False
13.002,13.16,21.36,0.3614457831325287,True
13.252,13.6,21.27,1.7964409258308474,False
13.502,13.87,20.82,2.0991426821443047,False
13.753,13.96,20.46,1.4784044075919929,False
14.002,13.96,20.2,1.0441767068273131,False
14.252,13.96,19.84,1.4399999999999975,False
14.502,13.96,19.75,0.3599999999999994,True
14.753,13.96,19.75,0.0,True
15.003,13.96,19.75,0.0,True
15.252,13.96,19.39,1.445783132530115,False
15.501,13.96,18.49,3.614457831325327,False
15.753,13.96,17.69,3.174603174603155,False
16.002,13.96,17.42,1.084337349397594,False
16.252,13.96,17.15,1.0800000000000125,False
16.502,13.96,17.06,0.3599999999999994,True
16.753,13.96,17.06,0.0,True
17.002,13.96,17.06,0.0,True
17.252,13.96,17.06,0.0,True
17.502,13.87,17.06,0.3600000000000065,True
17.752,13.78,17.06,0.3599999999999994,True
18.002,13.34,17.06,1.759999999999998,False
18.251,13.07,17.06,1.0843373493975783,False
18.503,12.8,17.06,1.0714285714285745,False
18.752,12.44,17.06,1.4457831325301325,False
19.001,11.46,17.06,3.935742971887508,False
19.252,10.83,17.06,2.5099601593625764,False
19.502,10.2,17.15,2.545584412271574,False
19.752,9.67,17.24,2.1503488089144955,False
20.001,9.22,17.42,1.9464451110124552,False
20.252,8.86,17.78,2.0283541133638225,False
20.503,8.86,17.96,0.717131474103581,False
20.752,8.77,18.32,1.490279141789521,False
21.001,8.77,18.58,1.0441767068272916,False
21.251,8.77,18.94,1.440000000000012,False
21.502,8.77,19.3,1.4342629482071825,False
21.752,8.77,19.75,1.7999999999999972,False
22.002,8.77,20.55,3.200000000000003,False
22.253,8.77,20.64,0.3585657370517905,True
22.502,8.77,20.64,0.0,True
22.752,8.77,21.27,2.519999999999996,False
23.002,8.68,21.9,2.545584412271567,False
23.251,8.68,22.25,1.405622489959832,False
23.501,8.68,22.7,1.7999999999999972,False
23.752,8.68,22.97,1.0756972111553869,False
24.002,8.68,23.42,1.8000000000000114,False
24.251,8.86,24.13,2.941612863812008,False
24.502,8.95,25.03,3.603541059366098,False
24.752,8.95,26.46,5.719999999999999,False
25.001,8.95,27.53,4.297188755020041,False
25.252,8.95,27.98,1.792828685258978,False
25.502,8.5,28.34,2.305124725475822,False
25.752,7.88,28.52,2.5824019826510356,False
26.002,7.34,28.61,2.189794510907359,False
26.252,7.16,28.61,0.7199999999999989,False
26.502,7.07,28.61,0.3599999999999994,True
26.752,6.89,28.61,0.7200000000000024,False
27.003,6.8,28.61,0.3585657370517905,True
27.252,6.71,28.61,0.3614457831325313,True
27.502,6.53,28.7,0.8049844718999231,False
27.752,6.53,28.7,0.0,True
28.003,6.53,28.7,0.0,True
