time,x,y,speed,stay
0.319,6.56,28.5,,False
0.572,6.56,28.42,0.3162055335968313,False
0.823,6.81,28.42,0.99601593625498,False
1.069,6.98,28.42,0.691056910569109,False
1.322,7.14,28.42,0.6324110671936727,False
1.569,7.39,28.42,1.0121457489878547,False
1.82,7.81,28.42,1.6733067729083655,False
2.068,8.31,28.42,2.016129032258068,False
2.319,8.89,28.42,2.3107569721115553,False
2.57,9.22,28.42,1.3147410358565743,False
2.822,9.47,28.42,0.9920634920634912,False
3.068,9.97,28.42,2.032520325203252,False
3.32,10.38,28.42,1.626984126984129,False
3.569,10.96,28.42,2.3293172690763044,False
3.82,11.38,28.42,1.673306772908367,False
4.069,11.55,28.42,0.6827309236947785,False
4.322,11.71,28.42,0.6324110671936761,False
4.569,11.88,28.42,0.688259109311741,False
4.819,12.29,28.42,1.6399999999999937,False
5.069,12.46,28.33,0.7694153624668663,False
5.32,12.96,28.25,2.017368749190779,False
5.569,13.29,28.25,1.325301204819272,False
5.818,13.54,28.25,1.0040160642570295,False
6.069,14.29,28.17,3.004998402092916,False
6.319,14.79,28.08,2.0321417273408886,False
6.569,14.95,28.0,0.7155417527999302,False
6.82,15.45,28.0,1.9920318725099575,False
7.07,16.03,28.0,2.3200000000000074,False
7.319,16.45,28.0,1.686746987951802,False
7.569,16.95,28.0,2.0,False
7.82,17.28,28.0,1.3147410358565794,False
8.069,17.53,28.0,1.004016064257026,False
8.32,17.78,28.0,0.9960159362549824,False
8.572,18.11,28.0,1.3095238095238084,False
8.818,18.36,28.0,1.016260162601624,False
9.068,18.77,28.0,1.6400000000000006,False
9.319,19.19,28.0,1.6733067729083653,False
9.568,19.6,28.08,1.6776384396952222,False
9.819,20.02,28.08,1.673306772908351,False
10.069,20.19,27.92,0.9338094023942958,False
10.32,20.27,27.42,2.017368749190786,False
10.572,20.27,27.17,0.9920634920634964,False
10.82,20.27,26.92,1.0080645161290278,False
11.069,20.27,26.76,0.6425702811244971,False
11.319,20.27,26.51,1.0,False
11.569,20.27,26.26,1.0,False
11.82,20.27,26.01,0.9960159362549824,False
12.069,20.27,25.76,1.004016064257026,False
12.318,20.27,25.59,0.6827309236947893,False
12.569,20.27,25.34,0.9960159362549752,False
12.822,20.27,25.26,0.3162055335968333,False
13.069,20.27,25.01,1.0121457489878474,False
13.32,20.19,24.84,0.7485376186476518,False
13.569,20.19,24.6,0.9638554216867384,False
13.818,20.1,24.1,2.040302939097285,False
14.069,20.1,23.76,1.3545816733067657,False
14.321,20.1,23.52,0.9523809523809644,False
14.571,20.1,23.27,1.0,False
14.82,20.1,22.93,1.3654618473895546,False
15.069,20.1,22.19,2.9718875502007904,False
15.319,20.19,21.77,1.7181385275931689,False
15.568,20.27,21.11,2.670003235115621,False
15.82,20.27,20.44,2.6587301587301444,False
16.069,20.35,20.03,1.6776384396952249,False
16.32,20.35,19.69,1.3545816733067657,False
16.569,20.35,19.28,1.6465863453815348,False
16.82,20.35,18.45,3.306772908366525,False
17.069,20.35,18.2,1.004016064257033,False
17.319,20.35,17.95,1.0,False
17.569,20.35,17.53,1.6799999999999926,False
17.819,20.35,17.29,0.960000000000008,False
18.069,20.35,16.7,2.359999999999999,False
18.319,20.35,16.21,1.9599999999999935,False
18.57,20.35,15.96,0.9960159362549752,False
18.818,20.27,15.79,0.75759250919581,False
19.069,19.6,14.88,4.502168314427649,False
19.323,19.6,14.88,0.0,False
19.568,19.02,14.88,2.367346938775508,False
19.82,18.52,14.88,1.9841269841269928,False
20.07,18.11,15.04,1.760454486773229,False
20.321,17.94,15.21,0.9578338868662346,False
20.568,17.53,15.46,1.9441631098855023,False
20.819,17.36,15.54,0.7485376186476571,False
21.073,17.36,15.71,0.6692913385826803,False
21.322,17.36,15.71,0.0,False
21.573,17.36,15.71,0.0,False
