"event","experiment time","system time","system time text"
"START",0.000000000E0,1750041160.886,"2025-06-16 11:32:40.886 UTC+09:00"
"PAUSE",4.098617962E1,1750041201.872,"2025-06-16 11:33:21.872 UTC+09:00"
