"event","experiment time","system time","system time text"
"START",0.000000000E0,1753434676.031,"2025-07-25 18:11:16.031 UTC+09:00"
"PAUSE",5.253485381E1,1753434728.566,"2025-07-25 18:12:08.566 UTC+09:00"
