time,speed,low_speed
7.75,0.6661337618776105,
8.0,0.6602762202736419,
8.25,0.6443207977441463,
8.5,0.6443207977441476,
8.75,0.712549095744649,0.6655201346768391
9.0,0.741614306085558,0.6806162435184285
9.25,0.5922518636178692,0.667011372187274
9.5,0.4810260229269998,0.6343524172238448
9.75,0.4810260229270029,0.6016934622604158
10.0,0.669978024982985,0.593179248108083
10.25,1.2747757161995155,0.6998115301308745
10.5,0.4180776713709889,0.6649766916814983
10.75,0.4103800082968576,0.65084748875547
11.0,0.41038000829685767,0.6367182858294409
11.25,0.376766596706546,0.5780760001741532
11.5,0.04384157889308452,0.33188917271286694
11.75,0.04384157889308635,0.2570419542172865
12.0,0.04384157889308627,0.18373426833653217
12.25,0.04384157889308456,0.11042658245577755
12.5,0.04384157889308635,0.04384157889308561
12.75,0.04384157889308452,0.04384157889308561
13.0,0.04384157889308627,0.0438415788930856
13.25,0.04384157889308631,0.043841578893085605
13.5,0.04384157889308635,0.04384157889308596
13.75,0.04384157889308452,0.0438415788930856
14.0,0.0438415788930846,0.04384157889308561
14.25,0.04384157889308631,0.04384157889308562
14.5,0.04384157889308627,0.04384157889308561
14.75,0.0438415788930846,0.043841578893085265
15.0,0.04384157889308627,0.04384157889308561
15.25,0.04384157889308456,0.0438415788930856
15.5,0.04384157889308635,0.04384157889308561
15.75,0.04384157889308627,0.04384157889308561
16.0,0.04384157889308461,0.04384157889308561
16.25,0.04384157889308627,0.04384157889308561
16.5,0.043841578893084536,0.04384157889308561
16.75,0.04384157889308635,0.04384157889308561
17.0,0.04384157889308629,0.04384157889308561
17.25,0.04384157889308452,0.04384157889308559
17.5,0.04384157889308637,0.04384157889308561
17.75,0.04384157889308452,0.04384157889308561
18.0,0.04384157889308629,0.0438415788930856
18.25,0.04384157889308629,0.0438415788930856
18.5,0.0438415788930846,0.04384157889308561
18.75,0.04384157889308802,0.043841578893085945
19.0,0.04384157889308287,0.04384157889308561
19.25,0.04384157889308627,0.04384157889308561
19.5,0.04384157889308629,0.04384157889308561
19.75,0.0438415788930846,0.04384157889308561
20.0,0.04384157889308629,0.043841578893085265
20.25,0.043841578893084536,0.0438415788930856
20.5,0.14580772912163523,0.06423480893879538
20.75,0.21625253962927807,0.09871700108603373
21.0,0.216252539629278,0.13319919323327242
21.25,0.21625253962927807,0.16768138538051078
21.5,0.21625253962927787,0.20216357752774944
21.75,0.21625253962927807,0.21625253962927798
22.0,0.21625253962927787,0.21625253962927798
22.25,0.29719035021601725,0.23244010174662583
22.5,0.6421574125923772,0.31762107633924563
22.75,0.6421574125923827,0.4028020509318666
23.0,0.6020732048426262,0.4799661839745363
23.25,0.5863426490280713,0.553984205854295
23.5,0.5863426490280713,0.6118146656167058
23.75,0.7610530932744436,0.635593801753119
24.0,0.765075028804121,0.6601773249954668
24.25,0.24684748553741848,0.5891321811344252
24.5,0.3352016130437929,0.5389039739375694
24.75,0.33520161304379537,0.48867576674071433
25.0,0.33520161304379303,0.4035054706945842
25.25,0.26509909495524786,0.3035102839248095
25.5,0.3005642146352499,0.3142536297443758
25.75,0.30056421463525185,0.3073261500626676
26.0,0.3005642146352502,0.3003986703809586
26.25,0.3005642146352498,0.2934711906992499
26.5,0.30056421463525185,0.3005642146352507
26.75,0.5368970591780602,0.34783078354381275
27.0,0.6006285938611912,0.40784365938900063
27.25,0.6019873385476523,0.4681282841714811
27.5,0.6194465743512657,0.5319047561146842
27.75,0.6194465743512662,0.595681228057887
28.0,0.644705760905123,0.6172429684032996
28.25,0.6659887234456355,0.6303149943201884
28.5,0.6562069495353072,0.6411589165177196
28.75,0.6024983528071585,0.637769272208898
29.0,0.6024983528071572,0.6343796279000763
29.25,0.6024983528071585,0.6259381462804834
