x,y,time
0.0,0.0,7.230180157
-0.05053258852317971,0.39679523371273884,7.230180157
-0.06623060208523285,0.7964870804774753,7.761313501
0.04708116443827312,1.1801020483389006,8.317104999
0.05677713436446585,1.5799845162806578,8.870732151
0.19520206257948458,1.9552691272743234,9.436599149
0.30177875418530803,2.3408095386534127,9.992227647
0.34130656336257925,2.7388516875543116,17.84307939
0.3332747549370038,3.138771041991447,18.38643958
0.3838170034231624,3.5355650453709884,18.93383454
0.29342281025306916,3.925217313221604,19.48945342
0.3579344321796993,4.3199808508443125,20.04089346
0.43198937984311536,4.713065911265805,20.56992691
