"event","experiment time","system time","system time text"
"START",0.000000000E0,1748339695.559,"2025-05-27 18:54:55.559 UTC+09:00"
"PAUSE",2.971059382E1,1748339725.269,"2025-05-27 18:55:25.269 UTC+09:00"
