x,y,time
0.0,0.0,6.660528549
-0.032344781962212264,0.3986901241312819,6.660528549
0.08829602186844715,0.7800636896167419,7.36604097
0.19781579090793688,1.1647784153415792,8.122863005
0.3362774199280272,1.5400494870871948,8.926766887
0.491130183255607,1.9088592235229518,9.522479
0.8376469269864508,2.108674504005133,10.28528423
1.2359261197378273,2.145737755634096,12.07545853
1.617947156773382,2.027163191488664,12.98258791
2.003280078772734,1.919838733775422,13.70479083
2.394994622027549,1.8388466563686063,14.31043356
2.776357684679591,1.7181726556698043,15.0387229
3.1652036309991605,1.6243705766372005,15.67718498
3.557904047762987,1.7004388530309564,16.45811797
3.9481736462526036,1.6127482577840682,17.40020882
