"event","experiment time","system time","system time text"
"START",0.000000000E0,1750041371.758,"2025-06-16 11:36:11.758 UTC+09:00"
"PAUSE",2.244647229E1,1750041394.205,"2025-06-16 11:36:34.205 UTC+09:00"
