time,speed,low_speed
8.75,0.667136487530962,
9.0,0.6625660836566837,
9.25,0.6741413845445651,
9.5,0.6741413845445646,
9.75,0.726897972650064,0.6809766625853679
10.0,0.7375636484468733,0.6950620947685502
10.25,0.6291372137994948,0.6883763207971123
10.5,0.5942688092057945,0.6724018057293583
10.75,0.5860457455242688,0.6547826779252991
11.0,0.5341688588956626,0.6162368551744188
11.25,0.5341688588956617,0.5755578972641764
11.5,0.532068391408752,0.5561441327860279
11.75,0.5313293785336474,0.5435562466515985
12.0,0.531329378533649,0.5326129732534746
12.25,0.5038882886014195,0.5265568591946259
12.5,0.054226467620807774,0.43056838093965516
12.75,0.05422646762080782,0.33499999618206633
13.0,0.054226467620807774,0.2395794139994984
13.25,0.054226467620807774,0.14415883181693015
13.5,0.054226467620806046,0.05422646762080744
13.75,0.054226467620807774,0.05422646762080744
14.0,0.054226467620807774,0.05422646762080743
14.25,0.05422646762080782,0.05422646762080744
14.5,0.054226467620807774,0.05422646762080744
14.75,0.054226467620806046,0.05422646762080744
15.0,0.054226467620807774,0.05422646762080744
15.25,0.054226467620807774,0.05422646762080744
15.5,0.054226467620807774,0.05422646762080743
15.75,0.05422646762080782,0.05422646762080744
16.0,0.054226467620806115,0.05422646762080745
16.25,0.054226467620807704,0.05422646762080744
16.5,0.05422646762080787,0.05422646762080746
16.75,0.054226467620807774,0.05422646762080746
17.0,0.054226467620807774,0.05422646762080745
17.25,0.05422646762080607,0.05422646762080744
17.5,0.054226467620807774,0.05422646762080745
17.75,0.054226467620807774,0.05422646762080743
18.0,0.0542264676208078,0.05422646762080744
18.25,0.054226467620806046,0.054226467620807094
18.5,0.054226467620807774,0.05422646762080743
18.75,0.054226467620807774,0.05422646762080743
19.0,0.0542264676208078,0.05422646762080744
19.25,0.054226467620807774,0.05422646762080744
19.5,0.054226467620807774,0.05422646762080778
19.75,0.19739856041783532,0.08286088618021328
20.0,0.3827578350791996,0.14856715967189166
20.25,0.3827578350791988,0.21427343316356984
20.5,0.3827578350791992,0.2799797066552482
20.75,0.06304577578222537,0.28174356828753166
21.0,0.5715231013495341,0.3565684764738714
21.25,0.571523101349533,0.3943215297279381
21.5,0.5422328791306417,0.4262165385382267
21.75,0.847045069510535,0.5190739854244939
22.0,0.7570200116867397,0.6578688326053966
22.25,0.7185775857291349,0.6872797294813168
22.5,0.7009058160379718,0.7131562724190046
22.75,0.6880224476955857,0.7423141861319934
23.0,0.6844033132079983,0.709785834871486
23.25,0.6604137809336186,0.6904645887208619
23.5,0.6604137809336195,0.6788318277617588
23.75,0.7825363685129109,0.6951579382567467
24.0,0.8388712291348841,0.7253276945446062
24.25,0.789856201679244,0.7464182722388555
24.5,0.7820145719813335,0.7707384304483984
24.75,0.9356407181055008,0.8257838178827747
25.0,1.0345818452233004,0.8761929132248525
25.25,1.375601675276492,0.9835390024531743
25.5,1.375601675276492,1.1006880971726236
