"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.717942930E-1,-1.074996567E1,7.733271718E-1,-9.888052940E-1
1.732650760E-1,-1.071405220E1,7.661445141E-1,-9.744400978E-1
1.758964080E-1,-1.062546730E1,7.445967197E-1,-9.433154464E-1
1.773246920E-1,-1.054406452E1,7.015010715E-1,-9.193734527E-1
1.799980230E-1,-1.048660374E1,6.823474765E-1,-9.145850539E-1
1.814299230E-1,-1.034295177E1,6.512228847E-1,-8.954314590E-1
1.840994850E-1,-1.023760605E1,6.129156351E-1,-8.523358107E-1
1.855327690E-1,-1.017056847E1,5.913678408E-1,-8.188169599E-1
1.880433070E-1,-1.005085850E1,5.386953950E-1,-7.517793179E-1
1.896523070E-1,-9.931148529E0,5.099649429E-1,-6.751648784E-1
1.921382300E-1,-9.876082420E0,4.932055473E-1,-6.368576288E-1
1.937726150E-1,-9.777919769E0,4.692635238E-1,-5.530605912E-1
1.963178070E-1,-9.696516991E0,4.381389022E-1,-4.788403511E-1
1.980723840E-1,-9.617507935E0,4.213795066E-1,-4.285621047E-1
2.004402690E-1,-9.591172218E0,3.974374831E-1,-3.974374831E-1
2.019888070E-1,-9.528923035E0,3.830722570E-1,-3.303998411E-1
2.046179850E-1,-9.476250648E0,3.519476354E-1,-2.920926213E-1
2.060653840E-1,-9.464279175E0,3.399766386E-1,-2.801215947E-1
2.085750760E-1,-9.461885452E0,3.399766386E-1,-2.561795712E-1
2.101627300E-1,-9.464279175E0,3.160346150E-1,-2.250549644E-1
2.126702690E-1,-9.461885452E0,3.016694188E-1,-2.178723514E-1
2.143005380E-1,-9.459490776E0,2.657563984E-1,-1.939303428E-1
2.167551150E-1,-9.457097054E0,2.466027737E-1,-1.891419291E-1
2.183598840E-1,-9.473855972E0,2.442085743E-1,-1.819593310E-1
2.210382150E-1,-9.507374763E0,2.322375625E-1,-1.723825186E-1
2.224969230E-1,-9.521739960E0,2.250549644E-1,-1.604115069E-1
2.251411380E-1,-9.543288231E0,2.202665508E-1,-1.675941199E-1
