"event","experiment time","system time","system time text"
"START",0.000000000E0,1757472906.955,"2025-09-10 11:55:06.955 UTC+09:00"
"PAUSE",3.241475452E1,1757472939.370,"2025-09-10 11:55:39.370 UTC+09:00"
